table	column	type	description
antibiotic_resfinder	id	int4	(Primary Key) ID for each record in this table
antibiotic_resfinder	gene_resfinder_id	int4	(Foreign Key) Related to 'id' column of 'gene_resfinder' table. 
antibiotic_resfinder	antibiotic	type_phenotype	Antibiotic drug certain gene provides resistance against.
checkm2	id	int4	(Primary Key) ID for each record in the this table.
checkm2	mag_reference_id	int4	(Foreign Key) Related to 'id' column of 'mag_reference' table.
checkm2	run	int4	Identifies the sequencing run associated with each sample. Some samples were sequenced more than once, and this column helps differentiate between different sequencing runs for the same sample
checkm2	completeness_model	type_completeness_model	Model used for precicting completeness. Possible values: 'Gradient Boost (General Model)' or 'Neural Network (Specific Model)'
checkm2	completeness_general	float4	Represents the estimated completeness of the genome bins using the general completeness model. It provides a value as a percentage, indicating how complete the genome is.
checkm2	completeness_specific	float4	Represents the estimated completeness of the genome bins using the general completeness model. It provides a value as a percentage, potentially offering a more tailored assessment of completeness based on specific criteria or markers.
checkm2	contamination	float4	Indicates the estimated percentage of contamination present in the genome bins. It represents the level of foreign DNA or non-target sequences present, affecting the purity of the bin.
checkm2	translation_table_used	int4	Refers to the translation table used for translating nucleotide sequences into amino acids during gene prediction or annotation process.
checkm2	coding_density	float4	Coding density is the percentage of the genome that encodes proteins.
checkm2	contig_n50	int4	Represents the length of the shortest contig such that the contigs longer than or equal to this length represent at least 50% of the assembled genome size.
checkm2	average_gene_length	float4	The average length of predicted genes or coding sequences within the genome bins.
checkm2	genome_size	int4	Estimated size of the genome bins in base pairs (bp).
checkm2	gc_content	float4	The percentage of guanine-cytosine (GC) base pairs present in the genome bins. GC content is often associated with various genomic characteristics. The value is between 0 and 1.
checkm2	total_coding_sequences	int4	The total number of predicted coding sequences or genes identified within genome bins.
checkm2	additional_notes	text	Additional comments, notes.
class_resfinder	id	int4	(Primary Key) ID for each record in this table.
class_resfinder	name	text	Name of the antimicrobial resistance class
class_resfinder	gene_resfinder_ids	int4	Array of ids (node_resfinder_gene) belong to each class.
class_resfinder_clr	meta_id	int4	(Foreign Key) Related to 'id' column of 'meta' table.
class_resfinder_clr	run	int4	Identifies the sequencing run associated with each sample. Some samples were sequenced more than once, and this column helps differentiate between different sequencing runs for the same sample
class_resfinder_clr	class_resfinder_id	int4	(Foreign Key) Related to 'id' column of 'class_resfinder' table.I
class_resfinder_clr	clr	int4	Abundance of genes groupped by resistence class in centered log ratio (clr) value 
gene_resfinder_clr	meta_id	int4	(Foreign Key) Related to 'id' column of 'meta' table.
gene_resfinder_clr	run	int4	Identifies the sequencing run associated with each sample. Some samples were sequenced more than once, and this column helps differentiate between different sequencing runs for the same sample 
gene_resfinder_clr	gene_resfinder_id	int4	(Foreign Key) Related to 'id' column of 'gene_resfinder' table.
gene_resfinder_clr	clr	int4	Gene abundance in centered log ratio (clr) value
gene_resfinder	id	int4	(Primary Key) ID for each record in this table
gene_resfinder	name	text	Name of each antimicrobial resistance gene
gene_resfinder	length	int4	Length of each antimicrobial resistance gene
gene_resfinder	enzymatic_inactivation	bool	Indicates whether enzymatic inactivation is involved in the resistance mechanism mediated by the gene. Values: 'TRUE', 'FALSE' or 'NA' if data is not available
gene_resfinder	enzymatic_modification	bool	Indicates whether enzymatic modification is involved in the resistance mechanism mediated by the gene. Values: 'TRUE', 'FALSE' or 'NA' if data is not available
gene_resfinder	increased_efflux	bool	Indicates whether increased efflux is involved in the resistance mechanism mediated by the gene. Values: 'TRUE', 'FALSE' or 'NA' if data is not available
gene_resfinder	target_modification	bool	Indicates whether target modification is involved in the resistance mechanism mediated by the gene. Values: 'TRUE', 'FALSE' or 'NA' if data is not available
gene_resfinder	target_protection	bool	Indicates whether target protection is involved in the resistance mechanism mediated by the gene. Values: 'TRUE', 'FALSE' or 'NA' if data is not available
contig	id	int4	(Primary Key) ID for each record in this table.
contig	location_id	int4	(Foreign Key) Related to 'id' column of 'location' table.
contig	mag_reference_id	int4	(Foreign Key) Related to 'id' column of 'mag_reference' table.
contig	name	varchar(16)	Name of the contig. The contig name is not unique as they are generated for each assembly separately. 
contig	length	int4	Length of the contig in basepairs.
contig	coverage	int4	Coverage is the average number of reads covering a position in the contig.
